roi,labels
1,FRP1 left
2,FRP1 right
3,MOp1 left
4,MOp1 right
5,MOs1 left
6,MOs1 right
7,SSp-n1 left
8,SSp-n1 right
9,SSp-bfd1 left
10,SSp-bfd1 right
11,SSp-ll1 left
12,SSp-ll1 right
13,SSp-m1 left
14,SSp-m1 right
15,SSp-ul1 left
16,SSp-ul1 right
17,SSp-tr1 left
18,SSp-tr1 right
19,SSp-un1 left
20,SSp-un1 right
21,SSs1 left
22,SSs1 right
23,AUDd1 left
24,AUDd1 right
25,AUDp1 left
26,AUDp1 right
27,AUDpo1 left
28,AUDpo1 right
29,AUDv1 left
30,AUDv1 right
31,VISal1 left
32,VISal1 right
33,VISam1 left
34,VISam1 right
35,VISl1 left
36,VISl1 right
37,VISp1 left
38,VISp1 right
39,VISpl1 left
40,VISpl1 right
41,VISpm1 left
42,VISpm1 right
43,VISli1 left
44,VISli1 right
45,VISpor1 left
46,VISpor1 right
47,ACAd1 left
48,ACAd1 right
49,PL1 left
50,PL1 right
51,RSPagl1 left
52,RSPagl1 right
53,RSPd1 left
54,RSPd1 right
55,RSPv1 left
56,RSPv1 right
57,VISa1 left
58,VISa1 right
59,VISrl1 left
60,VISrl1 right
61,TEa1 left
62,TEa1 right
63,MOB left
64,MOB right
